DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,SMA_14,RSI_14,BOLLINGER_UPPER,BOLLINGER_MIDDLE,BOLLINGER_LOWER,MACD,MACD_SIGNAL,MACD_HIST,ATR,STDDEV,PIVOT,R1,S1,R2,S2,R3,S3,ENGULFING,DOJI,HAMMER,MORNINGSTAR,OBV
2023-02-08,23263.416015625,23367.958984375,22731.09765625,22939.3984375,25371367758,23199.48995535714,59.53571592528183,23729.359939028633,23082.81064453125,22436.26135003387,840.303221611739,1073.8995586907008,-233.59633707896185,605.3955983843883,303.2624541849953,23012.818359375,23294.5390625,22657.677734375,23649.6796875,22375.95703125,23931.400390625,22020.81640625,0,0,0,0,-948376353694.0
2023-02-09,22946.56640625,22996.4375,21773.974609375,21819.0390625,32572572185,23112.794363839286,47.370968274156866,23874.852512338784,23039.9349609375,22205.017409536213,682.6595183882819,995.651550630217,-312.99203224193514,649.471833544432,467.5299409919657,22196.483723958332,22618.992838541664,21396.529947916664,23418.946614583332,20974.020833333332,23841.455729166664,20174.067057291664,0,0,0,0,-980948925879.0
2023-02-10,21819.005859375,21941.185546875,21539.392578125,21651.18359375,27078406594,23010.82686941964,45.85910025829546,24011.408290532898,22983.612890625,21955.81749071711,537.9797190008067,904.117184304335,-366.1374653035283,631.7804860591153,600.5807797759203,21710.587239583332,21881.781901041664,21479.988932291664,22112.380208333332,21308.794270833332,22283.574869791664,21078.195963541664,0,0,0,0,-1008027332473.0
2023-02-11,21651.841796875,21891.41015625,21618.44921875,21870.875,16356226232,22927.95438058036,48.18976310242213,24073.800303991957,22941.13583984375,21808.471375695543,436.0210171986437,810.4979508831967,-374.47693368455305,606.1505183048928,668.2969617553641,21793.578125,21968.70703125,21695.74609375,22066.5390625,21520.6171875,22241.66796875,21422.78515625,0,0,0,0,-991671106241.0
2023-02-12,21870.90234375,22060.994140625,21682.828125,21788.203125,17821046406,22786.0712890625,47.36348351773208,24123.030680177377,22883.8244140625,21644.61814794762,344.575035533715,717.3133678133004,-372.7383322795854,589.8659109706148,684.1648321989096,21844.008463541668,22005.188802083336,21627.022786458336,22222.174479166668,21465.842447916668,22383.354817708336,21248.856770833336,0,0,0,0,-1009492152647.0
2023-02-13,21787.0,21898.4140625,21460.087890625,21808.1015625,23918742607,22712.354352678572,47.596388789189554,24164.513922363443,22842.4060546875,21520.29818701156,270.5898821149385,627.968670673628,-357.3787885586895,579.0416438923565,728.5290530974653,21722.201171875,21984.314453125,21545.98828125,22160.52734375,21283.875,22422.640625,21107.662109375,0,1,0,0,-985573410040.0
2023-02-14,21801.822265625,22293.140625,21632.39453125,22220.8046875,26792596581,22646.74874441964,52.30969587237514,24139.948525999185,22797.5533203125,21455.158114625818,242.4628473040466,550.8675059997117,-308.40465869566515,584.8776760250454,728.4847103603864,22048.779947916668,22465.165364583336,21804.419270833336,22709.526041666668,21388.033854166668,23125.911458333336,21143.673177083336,0,0,0,0,-958780813459.0
2023-02-15,22220.5859375,24307.841796875,22082.76953125,24307.841796875,32483312909,22688.468191964286,67.98934107689236,24354.92469460661,22861.30654296875,21367.68839133089,384.15017807410186,517.5240404145898,-133.3738623404879,702.034432425042,801.9863200919887,23566.151041666668,25049.532552083336,22824.460286458336,25791.223307291668,21341.078776041668,27274.604817708336,20599.388020833336,0,0,0,0,-926297500550.0
2023-02-16,24307.349609375,25134.1171875,23602.5234375,23623.474609375,39316664596,22699.297014508928,60.91663317518303,24416.50106868262,22888.54384765625,21360.586626629876,436.18759687600686,501.2567517068731,-65.0691548308663,761.288669394682,813.4329374900578,24120.038411458332,24637.553385416664,23105.959635416664,25651.632161458332,22588.444661458332,26169.147135416664,21574.365885416664,0,0,0,0,-965614165146.0
2023-02-17,23621.283203125,24924.041015625,23460.755859375,24565.6015625,41358451255,22779.03125,66.13881486428656,24659.24306110973,22965.26943359375,21271.29580607777,547.1422819772051,510.43385776093953,36.7084242162656,811.4312755986332,929.4765472074158,24316.799479166668,25172.843098958336,23709.557942708336,25780.084635416668,22853.514322916668,26636.128255208336,22246.272786458336,1,0,0,0,-924255713891.0
2023-02-18,24565.296875,24798.8359375,24468.373046875,24641.27734375,19625427158,22872.561941964286,66.52571905477053,24823.224212489244,23008.60498046875,21193.985748448256,633.8741655952108,535.1219193277938,98.75224626741704,777.0763909576593,1039.7408947575675,24636.162109375,24803.951171875,24473.48828125,24966.625,24305.69921875,25134.4140625,24143.025390625,0,1,0,0,-904630286733.0
2023-02-19,24640.02734375,25093.0546875,24327.642578125,24327.642578125,25555105670,22970.56026785714,63.29766402676725,24983.772677841276,23082.98017578125,21182.187673721222,669.5835613076633,562.0142477237677,107.56931358389568,776.2432279874694,1105.530181781589,24582.779947916668,24837.917317708336,24072.505208333336,25348.192057291668,23817.367838541668,25603.329427083336,23307.093098958336,0,0,0,0,-930185392403.0
2023-02-20,24336.623046875,25020.458984375,23927.91015625,24829.1484375,28987376573,23118.348772321428,66.12794406080306,25215.311908730822,23167.4734375,21119.634966269175,729.9365916159077,595.5987165021957,134.33787511371202,798.8364851401501,1201.6369185682731,24592.505859375,25257.1015625,24164.552734375,25685.0546875,23499.95703125,26349.650390625,23072.00390625,0,0,0,0,-901198015830.0
2023-02-21,24833.048828125,25126.8515625,24200.36328125,24436.353515625,31252098714,23202.067522321428,62.08937489527961,25312.29274352596,23203.10263671875,21093.912529911544,737.5692957634965,623.9928323544558,113.57646340904068,807.954470576568,1248.7923233066615,24587.856119791668,24975.348958333336,24048.860677083336,25514.344401041668,23661.367838541668,25901.837239583336,23122.372395833336,0,0,0,0,-932450114544.0
2023-02-22,24437.41796875,24472.33984375,23644.318359375,24188.84375,30199996781,23291.313616071428,59.61858767693329,25389.168054076265,23238.95126953125,21088.73448498624,715.399617757892,642.2741894351431,73.12542832274892,809.3878287050275,1271.2753971726538,24101.833984375,24559.349609375,23731.328125,24929.85546875,23273.8125,25387.37109375,22903.306640625,0,0,1,0,-962650111325.0
2023-02-23,24190.71875,24572.08984375,23693.919921875,23947.4921875,30476264066,23443.34598214286,57.227131138530154,25434.690330896337,23263.859765625,21093.02920035366,670.6243936195096,647.9442302720164,22.68016334749325,814.3008353600255,1212.004245873982,24071.167317708332,24448.414713541664,23570.244791666664,24949.337239583332,23192.997395833332,25326.584635416664,22692.074869791664,0,0,0,0,-993126375391.0
2023-02-24,23946.0078125,24103.705078125,23007.072265625,23198.126953125,26811744928,23553.841936383928,50.45929140573553,25427.94921879672,23257.17373046875,21086.398242140775,568.1232233202682,631.9800288816667,-63.85680556139857,834.467405155738,1109.784903593153,23436.301432291668,23865.530598958336,22768.897786458336,24532.934244791668,22339.668619791668,24962.163411458336,21672.264973958336,0,0,0,0,-1019938120319.0
2023-02-25,23200.125,23210.2109375,22861.55859375,23175.375,16100721565,23647.0205078125,50.264924218458184,25434.940277626665,23268.1591796875,21101.378081748335,479.5267292659301,601.4893689585194,-121.9626396925894,799.7663293410424,1015.312179928298,23082.381510416668,23303.204427083336,22954.552083333336,23431.033854166668,22733.729166666668,23651.856770833336,22605.899739583336,0,1,1,0,-1036038841884.0
2023-02-26,23174.150390625,23654.3671875,23084.220703125,23561.212890625,16644534842,23773.6640625,53.53373963672079,25465.545074818296,23308.21435546875,21150.883636119204,435.427920592123,568.2770792852401,-132.84915869311715,783.3649118434679,876.6675597013311,23433.266927083332,23782.313151041664,23212.166666666664,24003.413411458332,22863.120442708332,24352.459635416664,22642.020182291664,1,0,0,0,-1019394307042.0
2023-02-27,23561.451171875,23857.890625,23205.87890625,23522.87109375,22660763494,23896.147600446428,53.15983272752529,25480.36471143279,23321.143359375,21161.92200731721,392.85682549193734,533.1930285265796,-140.33620303464227,773.9825409082202,694.3174590958823,23528.880208333332,23851.881510416664,23199.869791666664,24180.891927083332,22876.868489583332,24503.893229166664,22547.858072916664,0,1,0,0,-1042055070536.0
2023-02-28,23521.837890625,23585.384765625,23077.650390625,23147.353515625,20535363434,23962.329659598217,49.5123601987011,25485.30506017047,23331.54111328125,21177.777166392032,325.0705843465839,491.5685396905805,-166.49795534399652,754.9648147719188,563.2604112429237,23270.129557291668,23462.608723958336,22954.874348958336,23777.863932291668,22762.395182291668,23970.343098958336,22447.139973958336,0,0,0,0,-1062590433970.0
2023-03-01,23150.9296875,23880.6328125,23088.626953125,23646.55078125,24662841200,23915.094587053572,54.02808653096045,25464.39040112074,23422.91669921875,21381.442997316757,308.07920196807027,454.8706721460784,-146.79147017800813,757.6106036721388,560.0238264151611,23538.603515625,23988.580078125,23196.57421875,24330.609375,22746.59765625,24780.5859375,22404.568359375,0,0,0,0,-1037927592770.0
2023-03-02,23647.01953125,23739.138671875,23245.021484375,23475.466796875,20386398516,23904.522600446428,52.30153778069647,25386.850658665662,23514.130859375,21641.411060084338,277.60826600093424,419.4181909170496,-141.80992491611534,738.7896453741289,566.7853745997483,23486.542317708332,23728.063151041664,23233.945963541664,23980.659505208332,22992.425130208332,24222.180338541664,22739.828776041664,0,0,0,0,-1058313991286.0
2023-03-03,23476.6328125,23479.34765625,22213.23828125,22362.6796875,26062404610,23747.171037946428,42.73543934798949,25335.877382033617,23538.72109375,21741.564805466383,161.80205654946622,367.8949640435329,-206.0929074940667,776.4553403474055,659.6027065633142,22685.088541666668,23156.938802083336,21890.829427083336,23951.197916666668,21418.979166666668,24423.048177083336,20624.720052083336,0,0,0,0,-1084376395896.0
2023-03-04,22362.923828125,22405.177734375,22198.98046875,22353.349609375,11166012913,23583.747628348217,42.66497818735825,25268.37058276791,23566.97841796875,21865.586253169586,68.48251805131076,308.0124748450885,-239.52995679377773,735.7226207243765,700.0240487950872,22319.169270833332,22439.358072916664,22233.160807291664,22525.366536458332,22112.972005208332,22645.555338541664,22026.963541666664,0,1,0,0,-1095542408809.0
2023-03-05,22354.14453125,22613.685546875,22307.142578125,22435.513671875,13317001733,23448.595563616072,43.547701419166934,25188.35272616279,23598.3490234375,22008.345320712207,1.142890104882099,246.6385578970472,-245.4956677921651,705.0669312976353,725.5445126915827,22452.113932291668,22597.085286458336,22290.542317708336,22758.656901041668,22145.570963541668,22903.628255208336,21983.999348958336,0,0,0,0,-1082225407076.0
2023-03-06,22436.81640625,22584.29296875,22331.314453125,22429.7578125,17353192895,23277.210518973217,43.49717964109921,25164.839919689653,23608.7966796875,22052.753439685348,-52.088258921296074,186.89319453337853,-238.9814534546746,672.7749016067328,659.582780177064,22448.455078125,22565.595703125,22312.6171875,22701.43359375,22195.4765625,22818.57421875,22059.638671875,0,1,0,0,-1099578599971.0
2023-03-07,22428.322265625,22527.41796875,22011.26171875,22219.76953125,22765452204,23118.88309151786,41.600969731600095,25137.125921327297,23504.39306640625,21871.660211485203,-109.95117864070926,127.52431989856098,-237.47549853927023,661.5878550633946,627.598320728062,22252.81640625,22494.37109375,21978.21484375,22768.97265625,21736.66015625,23010.52734375,21462.05859375,0,0,0,0,-1122344052175.0
2023-03-08,22216.44140625,22268.896484375,21708.05078125,21718.080078125,22536575684,22942.399972098217,37.40545846810327,25216.01515397819,23409.12333984375,21602.23152570931,-194.0531811927758,63.208819680293615,-257.26200087306944,654.391987067795,648.9387117220247,21898.342447916668,22088.634114583336,21527.788411458336,22459.188151041668,21337.496744791668,22649.479817708336,20966.942708333336,0,0,0,0,-1144880627859.0
2023-03-09,21720.080078125,21802.716796875,20210.306640625,20363.021484375,30364664171,22686.366350446428,28.92132623812223,25361.516049525224,23198.9943359375,21036.472622349775,-365.82947350630275,-22.598838957025663,-343.23063454927706,721.3932848665238,870.9985372975495,20792.014973958332,21373.723307291664,19781.313151041664,22384.425130208332,19199.604817708332,22966.133463541664,18188.902994791664,0,0,0,0,-1175245292030.0
2023-03-10,20367.001953125,20370.595703125,19628.25390625,20187.244140625,39578257695,22471.303292410714,28.033081205450156,25400.38174940486,22976.29267578125,20552.20360215764,-510.2651661478813,-120.13210439519678,-390.13306175268445,722.8896071528435,1067.611538761964,20062.03125,20495.80859375,19753.466796875,20804.373046875,19319.689453125,21238.150390625,19011.125,0,0,1,0,-1214823549725.0
2023-03-11,20187.876953125,20792.525390625,20068.66015625,20632.41015625,30180288176,22289.662946428572,33.59540780536263,25335.777141783652,22791.5310546875,20247.28496759135,-582.1002270434437,-212.52572892484616,-369.5744981185976,722.959294811569,1145.831811097421,20497.865234375,20927.0703125,20203.205078125,21221.73046875,19774.0,21650.935546875,19479.33984375,0,0,0,0,-1184643261549.0
2023-03-12,20628.029296875,22185.03125,20448.806640625,22163.94921875,29279035521,22189.8583984375,48.37796204518017,25035.359681783582,22658.27109375,20281.182505716417,-509.57358057081,-271.93529925403897,-237.63828131677104,795.3353887089569,1090.2338858528365,21599.262369791668,22749.718098958336,21013.493489583336,23335.486979166668,19863.037760416668,24485.942708333336,19277.268880208336,0,0,0,0,-1155364226028.0
2023-03-13,22156.40625,24550.837890625,21918.19921875,24197.533203125,49466362688,22238.04854910714,60.84269283706719,24989.73144204424,22646.330078125,20302.92871420576,-284.7203792467153,-274.49231525257426,-10.228063994141053,926.5713375065314,1160.7221326422004,23555.5234375,25192.84765625,22560.208984375,26188.162109375,20922.884765625,27825.486328125,19927.5703125,0,0,0,0,-1105897863340.0
2023-03-14,24201.765625,26514.716796875,24081.18359375,24746.07421875,54622230164,22352.24288504464,63.40924891805473,25102.01785154398,22674.1916015625,20246.36535158102,-61.55040682901745,-231.9039335678629,170.35352673884546,1034.2114707649937,1313.1927983051455,25113.991536458332,26146.799479166664,23713.266276041664,27547.524739583332,22680.458333333332,28580.332682291664,21279.733072916664,0,0,0,0,-1051275633176.0
